127.0.0.1 - - [11/Nov/2022:09:01:03 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:04 +0900] "GET /Cving02/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:04 +0900] "GET /Cving02/login.jsp HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:04 +0900] "GET /Cving02/css/cving.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:04 +0900] "GET /Cving02/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:04 +0900] "GET /Cving02/img/logoback.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:04 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "POST /Cving02/loginok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/index.jsp HTTP/1.1" 200 7343
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/movie_image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/noir.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/thriller.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/suspense.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/martialarts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/sf.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/horror.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/blackcomedy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/war.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/west.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/mellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/epic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/fantasy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/crime.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/animation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/adventure.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/family.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:10 +0900] "GET /Cving02/img/drama.jpg HTTP/1.1" 304 -
