,영화제목,개봉년도,제작년도,영화코드
166,살사,2000,2000,16141
167,삼나무에 내리는 눈,2000,1999,28796
168,상하이 눈,2000,2000,11463
169,색정남녀,2000,1996,13332
170,생사권속,2000,2000,29262
171,샤프트,2000,2000,29661
172,서브웨이,2000,1985,11930
173,섬,2000,2000,29099
174,성난 얼굴로 돌아보라,2000,2000,42543
175,성원,2000,1999,27899
176,세크릿 에이전트 맨,2000,2000,32581
177,섹스 애나벨청 스토리,2000,1999,29390
178,소나티네,2000,1993,26538
179,소년은 울지 않는다,2000,1999,27109
180,소용돌이,2000,1999,29316
181,수퍼노바,2000,2000,28873
182,순류역류,2000,2000,31116
183,순애보,2000,2000,30848
184,쉐이디 글로브,2000,1999,31287
185,쉘 위 댄스,2000,1996,26333
186,스컬스,2000,2000,29322
187,스크림 3,2000,2000,29004
188,스터 오브 에코,2000,1999,26510
189,스토리 오브 어스,2000,1999,27258
190,스튜어트 리틀,2000,1999,28780
191,스트라이커,2000,1999,27632
192,스티그마타,2000,1999,26509
193,스페이스 카우보이,2000,2000,30498
194,슬로우 페이드,2000,1999,15799
195,슬리피 할로우,2000,1999,28099
196,슬링 블레이드,2000,1996,18223
197,시암 썬셋,2000,1999,25658
198,시월애,2000,2000,30306
199,식스티 세컨즈,2000,2000,29713
200,식스팩,2000,2000,16736
201,신밧드 2000,2000,2000,29226
202,신혼여행,2000,2000,27639
203,실제상황,2000,2000,29624
204,심동,2000,1999,29258
205,십이야,2000,2000,30952
206,싸이렌,2000,2000,29810
207,쌍생아,2000,1999,27225
208,써스펙트,2000,2000,14775
209,썸머 스노우,2000,2000,36354
210,썸머 오브 샘,2000,1999,25419
211,쓰리 킹즈,2000,1999,26975
212,아나키스트,2000,2000,26980
213,아름다운 사람들,2000,1999,29259
214,아마존,2000,1997,29011
215,아메리칸 드림,2000,1988,29849
216,아메리칸 뷰티,2000,1999,26679
217,아메리칸 싸이코,2000,2000,28910
218,아웃사이드 프로비던스,2000,1999,26397
219,아이언 자이언트,2000,1999,25915
220,아이즈 와이드 셧,2000,1999,25420
221,아줌마,2000,2000,50286
222,아트 오브 워,2000,2000,30787
223,아티스트,2000,2000,30146
224,암전,2000,1999,28966
225,애니 기븐 선데이,2000,1999,28791
226,애스트로넛,2000,1999,26222
227,어둠의 후예,2000,2000,67811
228,언더 더 선,2000,1998,27344
229,언브레이커블,2000,2000,31085
230,언피쉬,2000,1997,25770
231,에린 브로코비치,2000,2000,29102
232,에어 콘트롤,2000,1999,24486
233,에어포스 21,2000,1999,29255
234,에이리언 2020,2000,2000,29055
235,에이리언 어드벤쳐,2000,1999,30388
236,엑기,2000,1981,16509
237,엑스맨,2000,2000,29550
238,엑스맨 - 에볼루션,2000,2000,37093
239,엔터 더 이글,2000,1998,28887
240,엘도라도,2000,2000,29321
241,여비서,2000,2000,90511
242,열정의 제국,2000,1978,29169
243,영웅,2000,1997,29060
244,오 형제여 어디 있는가,2000,2000,23934
245,오! 수정,2000,2000,28995
246,오네긴,2000,1999,29135
247,오스틴 파워 - 제로,2000,1997,25101
248,옥토퍼스,2000,2000,31230
249,와호장룡,2000,2000,29712
250,왓 라이즈 비니스,2000,2000,29691
251,왓쳐,2000,2000,30852
252,왕룽의 대지,2000,2000,38125
253,웬만해선 그들을 막을 수 없다,2000,2001,34373
254,웰컴 미스터 맥도날드,2000,1997,30822
255,위트와 슬라이,2000,1999,24254
256,윙 커맨더,2000,1999,29211
257,으랏차차 스모부,2000,1992,26543
258,이노센스,2000,1999,28902
259,이브의 모든 것,2000,2000,39739
260,이케부쿠로 웨스트 게이트 파크,2000,2000,37927
261,이프,2000,1999,29260
262,인 투 딥,2000,1999,26221
263,인랑,2000,1999,29892
264,인사이더,2000,1999,25633
265,인코그니토,2000,1997,29033
266,인터뷰,2000,2000,28846
267,잉카,2000,1998,31156
268,자카르타,2000,2000,30720
269,잔 다르크,2000,1999,27513
270,저니 오브 맨,2000,2000,15295
271,저지먼트 데이,2000,1999,29299
272,정,2000,1999,26271
273,제이콥의 거짓말,2000,1999,26792
274,젠 엑스 캅,2000,1999,29257
275,존 말코비치 되기,2000,1999,27564
276,주노명 베이커리,2000,1999,26351
277,죽거나 혹은 나쁘거나,2000,2000,29516
278,줄리엣의 남자,2000,2000,38782
279,지금은 통화중,2000,2000,29053
280,진실 게임,2000,2000,28844
281,진심화,2000,1999,29753
282,진혼곡,2000,2000,30646
283,집으로 가는 길,2000,1999,29953
284,징기스칸,2000,1998,29057
285,찍히면 죽는다,2000,2000,17318
286,챔피언의 아침,2000,1999,26797
287,처음 만나는 자유,2000,1999,28795
288,천둥소리,2000,2001,39589
289,천일동안,2000,2000,28884
290,철도원,2000,1999,27255
291,첨언밀어,2000,1997,30166
292,청춘,2000,2000,30019
293,춘향뎐,2000,2000,24989
294,춤추는 대수사선,2000,1998,29617
295,춤추는 무뚜,2000,1995,29595
296,치킨 런,2000,2000,29558
297,칠 팩터,2000,1999,26386
298,침향,2000,1999,27311
299,캅 랜드,2000,1997,25552
300,컵,2000,1999,27270
301,컷 런스 딥,2000,1998,27309
302,코요테 어글리,2000,2000,30685
303,쿤둔,2000,1997,29024
304,퀴어 애즈 포크,2000,2000,38682
305,크레이지 핸드,2000,1999,24468
306,크로우 - 구원의 손길,2000,2000,29949
307,키리쿠와 마녀,2000,1998,27351
308,키스드,2000,1996,25646
309,키즈 리턴,2000,1996,26537
310,키핑 더 페이스,2000,2000,29144
311,킬리만자로,2000,2000,29042
312,타이탄 AE,2000,2000,29556
313,태양유이,2000,1996,15392
314,태양은 가득히,2000,2000,38133
315,태조 왕건,2000,2000,29588
316,택시 2,2000,2000,29354
317,탱고,2000,1998,27440
318,터치 미,2000,1998,13954
319,트라이어드,2000,1995,27364
320,트랙 시티,2000,2000,37427
321,파이어웍,2000,1997,30375
322,패밀리 맨,2000,2000,31159
323,패션 오브 마인드,2000,1999,29380
324,패션 코브,2000,1999,32597
325,패트리어트 - 늪 속의 여우,2000,2000,29378
326,팬티 속의 개미,2000,2000,31203
327,퍼펙트 스톰,2000,2000,29663
328,퍼플 스톰,2000,1999,29749
329,페이스,2000,1997,24353
330,페이싱,2000,2000,13430
331,평화의 시대,2000,2000,30275
332,포르노그래픽 어페어,2000,1999,26517
333,포스트맨 블루스,2000,1997,26528
334,포켓 몬스터 - 뮤츠의 역습,2000,1998,27627
335,포트리스 2,2000,1999,29157
336,프레디타,2000,1997,29725
337,프로젝트 B,2000,1998,28885
338,프리 머니,2000,1998,15322
339,프리퀀시,2000,2000,29657
340,플란다스의 개,2000,2000,28267
341,플레이 투 더 본,2000,1999,28898
342,플로리스,2000,1999,28336
343,피델리티,2000,2000,29311
344,필로우 북,2000,1996,27268
345,하나 그리고 둘,2000,2000,15006
346,하나의 선택,2000,1998,27349
347,하면 된다,2000,2000,30861
348,하얀마음 백구,2000,2000,34182
349,하피,2000,2000,14050
350,하피스트,2000,1997,31557
351,학교 시즌3,2000,2000,41353
352,학교 전설,2000,1999,28766
353,할로우 맨,2000,2000,30465
354,해변으로 가다,2000,2000,29655
355,해피 텍사스,2000,1999,27263
356,행복한 장의사,2000,1999,27629
357,허리케인 카터,2000,1999,28840
358,헌티드 힐,2000,1999,27562
359,헤비 메탈 2,2000,1999,28351
360,헬프리스,2000,1996,31264
361,화양연화,2000,2000,28876
362,화이트아웃,2000,2000,28312
363,환타지아 2000,2000,1999,28841
364,흑우,2000,2000,29215
365,희극지왕,2000,1999,29044
366,히 갓 게임,2000,1998,29261
367,15분,2001,2001,31964
368,2001 스페이스 오디세이,2001,2000,31595
369,24 시즌1,2001,2001,36752
370,3000 마일,2001,2001,31897
371,7인의 새벽,2001,2001,31245
372,D-13,2001,2000,31171
373,MOB 2025,2001,2000,30905
374,RGB 모험,2001,2001,60250
375,TV 동물농장,2001,2001,84295
376,UC - 언더커버,2001,2001,39203
377,가디언,2001,2000,33302
378,가면학원,2001,2000,30748
379,간장 선생,2001,1998,27474
380,갓 앤 몬스터,2001,1998,24051
381,건달의 법칙,2001,2001,32744
382,게임 오버,2001,2001,33712
383,고,2001,2001,33513
384,고양이를 부탁해,2001,2001,31607
385,고추 말리기,2001,1999,31659
386,고추불패,2001,2001,32197
387,고해,2001,2001,31300
388,곰돌이 푸 - 6가지 소중한 마음,2001,2001,35519
389,광시곡,2001,2000,30886
390,교도소 월드컵,2001,2001,30760
391,귀신이 온다,2001,2000,29805
392,그녀에게 잠들다,2001,2000,13999
393,그래도 사랑해,2001,2001,41320
394,그레이 올,2001,1999,31211
395,극장판 포켓몬스터2: 루기아의 탄생,2001,1999,27628
396,금발이 너무해,2001,2001,32900
397,기사 윌리엄,2001,2001,32478
398,기프트,2001,2000,31304
399,길로틴 트래지디,2001,2000,16770
400,꽃섬,2001,2001,31810
401,끝없는 도전,2001,1999,32704
402,나는 네가 지난 13일 금요일 밤에 한 일을 알고 있다,2001,2000,32694
403,나도 아내가 있었으면 좋겠다,2001,2000,31158
404,나비,2001,2001,31874
405,나의 즐거운 일기,2001,1994,16572
406,남과 여,2001,2001,47902
407,내 마음의 비밀,2001,1997,31982
408,너 어느 별에서 왔니?,2001,2000,29155
409,너스 베티,2001,2000,29801
410,네 자매 이야기,2001,2001,41455
411,네임리스,2001,1999,26447
412,넥스트 베스트 씽,2001,2000,29153
413,노랑머리 2,2001,2001,32877
414,눈물,2001,2000,29197
415,뉴 블러드,2001,1999,32883
416,뉴스데스크,2001,2001,32294
417,늑대의 후예들,2001,2001,31581
418,다운 투 어쓰,2001,2001,31880
419,다크 프린스,2001,2000,32120
420,닥터 두리틀 2,2001,2001,32228
421,달마야 놀자,2001,2001,31922
422,더 길티,2001,2000,30104
423,더 댄서,2001,2000,30491
424,더 야드,2001,2000,29802
425,더 오피스 1,2001,2001,90004
426,더 킹,2001,2001,32235
427,더 홀,2001,2001,32702
428,던전 드래곤,2001,2000,31193
429,도쿄 맑음,2001,1997,26624
430,동경의 주먹,2001,1995,26444
431,두사부일체,2001,2001,32665
432,둠스데이어,2001,2000,32070
433,드라큐라 2000,2001,2000,31493
434,드리븐,2001,2001,31916
435,디지몬 어드벤처 02,2001,2000,77572
436,딱좋아!,2001,2001,65280
437,라스트 런,2001,2001,33085
438,라이방,2001,2001,32246
439,러브 앤 섹스,2001,2000,30790
440,러시 아워 2,2001,2001,31629
441,런딤,2001,2001,33455
442,레닌그라드 카우보이 미국에 가다,2001,1989,16857
443,레인디어 게임,2001,2000,29105
444,레저렉션 2,2001,2000,29313
445,로펌,2001,2001,38604
446,록키 6,2001,1986,31974
447,리멤버 타이탄,2001,2000,30897
448,리지 맥과이어 - TV 시리즈,2001,2001,37438
449,리틀 청,2001,1999,30925
450,리플리컨트,2001,2001,33321
451,마리포사,2001,1999,15872
452,마태복음,2001,1964,32019
453,말레나,2001,2000,31231
454,매일 그대와,2001,2002,39372
455,맥클로드의 딸들,2001,2001,35699
456,맨 오브 오너,2001,2000,31148
457,머스킷티어,2001,2001,33086
458,멀홀랜드 드라이브,2001,2001,33158
459,멋진 친구들 2,2001,2001,42529
460,메멘토,2001,2000,31940
461,멕시칸,2001,2001,31577
462,명성황후,2001,2001,38425
463,모넬라 2,2001,2000,32648
464,몬스터 주식회사 3D,2001,2001,32112
465,못다한 27번의 키스,2001,2000,31005
466,무사,2001,2001,28214
467,무사,2001,1989,30871
468,무서운 영화 2,2001,2001,32224
469,물랑 루즈,2001,2001,31882
470,미나,2001,2001,40018
471,미래 전사 런딤,2001,2001,33776
472,미스 에이전트,2001,2000,31195
473,미이라 - 시리즈,2001,2001,37121
474,미이라 2,2001,2001,31271
475,미키는 내 친구,2001,2001,33775
476,미트 페어런츠,2001,2000,30911
477,바닐라 스카이,2001,2001,31913
478,바운스,2001,2000,31191
479,반지의 제왕: 반지 원정대,2001,2001,31794
480,발렌타인,2001,2001,31760
481,방콕 데인저러스,2001,1999,32798
482,배드 보이즈,2001,2000,32093
483,백색지대 3,2001,1999,31554
484,밴드 오브 브라더스,2001,2001,34819
485,버티칼 리미트,2001,2000,31153
486,번지 점프를 하다,2001,2000,30796
487,베가 번스의 전설,2001,2000,29775
488,베로니카 - 사랑의 전설,2001,1998,26344
489,베사메무쵸,2001,2001,31552
490,베이트,2001,2000,30863
491,벨파고,2001,2001,31738
492,별주부 해로,2001,2001,29951
493,봄날은 간다,2001,2001,31801
494,부에나 비스타 소셜 클럽,2001,1999,26348
495,북경 자전거,2001,2001,31942
496,분노의 질주,2001,2001,32723
497,브랜단 앤 트루디,2001,2000,32085
498,브리짓 존스의 일기,2001,2001,31565
499,블레어 윗치 2 - 어둠의 경전,2001,2000,31157
500,비독,2001,2001,34092
501,비밀의 화원,2001,1996,26635
502,비지터 3 - 저스트 비지팅,2001,2001,32046
503,빅 베어,2001,1999,31261
504,빌리 엘리어트,2001,2000,31013
